symbol,8,12,16,20,24,28,8,12,16,20,24,28,8,12,16,20,24,28,8,12,16,20,24,28,8,12,16,20,24,28,8,12,16,20,24,28,8,12,16,20,24,28,8,12,16,20,24,28,8,12,16,20,24,28
CAB39L,5.457299333,5.724626,5.827127,5.413270333,5.738752333,5.489479333,5.734073333,5.640922,5.682071333,5.681686333,5.558512667,5.689722667,5.998025,5.855173667,5.619579,5.559687333,5.544846,6.018784333,5.287139333,5.465013667,5.444740667,5.692132,5.617022333,5.696564333,5.704454,5.588608333,5.308835,5.458244,5.567116333,5.555984,5.435979667,5.559886,5.851599667,5.638288333,5.241482667,5.399186,5.553997333,5.668379,5.548211,5.639933333,5.509564333,5.643994,5.865254,5.729395,5.641800667,5.739168667,5.490410667,5.752788,5.921355667,6.139166333,6.053511333,5.828157,6.226823,6.148979667
MPV17L,7.0777405,7.1965655,7.3863645,6.87769,7.1049125,7.0683035,7.246069,7.2192255,7.1259565,6.952509,6.9133145,7.085714,6.938364,6.858342,7.057722,7.4861035,7.198769,7.18097,6.9637475,7.1184755,7.558585,7.326114,6.820319,6.9468145,6.686651,6.9152625,6.768823,6.886276,7.05978,6.7593955,7.225135,6.935535,6.733823,7.00777,7.249705,7.2310865,7.325999,7.394163,7.052371,7.452815,7.6226525,7.497201,7.0672795,6.7194475,6.6201385,7.0351235,7.0864125,7.002715,7.085481,6.865252,6.7778405,7.206556,7.017173,7.141372
ALDH8A1,6.105667,6.318256,5.090184,5.76678,6.258274,6.056221,7.313609,7.112563,6.705511,6.885689,7.573581,7.590777,5.806587,6.336295,6.102337,5.814268,5.716858,5.836434,6.188578,6.741429,6.354901,6.506459,6.527713,6.676716,6.206134,5.791144,5.230233,5.782431,5.651169,5.791983,6.290275,6.605836,6.587039,6.855635,6.320652,6.189916,6.201146,6.695278,5.923903,6.100281,5.521081,6.130995,6.078666,6.9996,6.923143,7.042463,6.615266,6.438829,6.331185,6.364181,6.457473,5.932776,5.731423,5.659432
VSIG1,7.846572,7.194259,6.662678,7.69653,7.612185,7.589121,7.925198,7.882664,7.449527,7.999931,8.543987,8.348642,6.83228,7.122641,6.924536,6.991678,7.31453,7.253867,7.3964,7.120461,7.397861,7.552703,7.996266,8.047305,8.146718,7.749023,7.660953,8.268881,8.22458,7.750355,7.43525,7.21359,7.807834,8.307056,7.76151,7.987399,7.383397,7.74707,7.504236,7.405321,7.580018,7.433204,7.282566,7.416253,7.630642,7.711216,7.380659,7.014885,7.216974,7.069602,7.263185,7.083356,7.48101,7.484793
PLD3,7.456742333,7.484518667,8.069989333,7.460689,7.501840333,7.545629667,7.474165333,7.650649333,7.719650667,7.502917667,7.555350333,7.452068667,7.581780333,7.789573667,7.598759,7.434988,7.594349,7.618729333,7.626933,7.512912,7.392544333,7.163327,7.679705,7.512353333,7.650618333,7.642386,7.70091,7.608095,7.847908,7.527519,7.568763333,7.534503667,7.358902333,7.396916,7.490384,7.271006333,7.601903333,7.699772333,7.713358,7.569734333,7.632600333,7.645403667,7.570941667,7.770531,7.587383667,7.601929,7.704018667,7.657494667,7.428665333,7.278025333,7.305877667,7.321335333,7.259801,7.312409667
NUDT15,7.9325555,7.8517385,6.7252805,7.430044,7.753442,7.704431,7.731904,7.780894,7.660315,7.8006215,7.1857095,7.566384,7.566944,7.877803,7.4132855,7.34956,7.262091,7.481402,7.048675,7.428877,7.322433,7.5518605,7.6014585,7.6813415,7.945403,7.6671165,7.786521,7.718664,7.7289645,7.5964075,7.5751845,7.93835,8.3396685,7.7962835,7.8300045,7.843471,7.295731,7.606553,7.608259,7.46286,7.1775945,7.3290785,7.6327305,7.6980665,7.6617935,8.06472,7.7876865,7.4320665,8.3283235,8.2517755,8.1911755,7.850452,8.216529,8.2006935
TRMT1,8.37851,8.342449,9.143791,8.259079,8.274429,8.148117,8.069045,8.439461,8.148182,8.30257,8.879499,8.743649,8.389088,8.321284,8.082475,8.255067,8.291577,8.439875,8.322447,8.182659,8.231362,7.649892,8.535656,8.202756,8.530783,8.409699,8.468098,8.465124,8.910327,8.445177,8.333305,8.292342,8.504844,8.316176,8.171941,8.257729,8.066668,8.432091,8.195327,8.111405,8.143784,8.231812,8.028033,8.350306,8.793408,8.264242,8.262191,8.128388,8.180425,8.214618,8.487368,8.155468,8.465732,8.04069
PSORS1C1,4.2240285,4.3278275,4.604814,4.61105,4.457405,4.3727215,4.3228445,4.260518,4.246966,4.236174,4.3822225,4.0737305,3.98068,4.074335,3.957441,4.0860115,4.0084305,4.3991855,4.150389,4.0334735,4.216211,4.2691715,4.179196,4.05171,4.2509625,4.282427,4.2976795,4.373607,4.251823,4.1745785,4.100179,4.4656615,4.4303325,4.199668,4.3301245,4.343996,3.957691,4.191139,4.351757,4.6147525,4.312032,4.39448,4.37869,4.1799235,4.0008815,4.2049735,4.629203,4.396314,4.014878,4.0166645,4.196941,3.949123,3.800432,4.1407555
RFC1,9.308966667,9.276294333,9.041634167,9.1368065,9.297898833,9.372270667,9.359029333,9.4031275,9.302445667,9.373771667,9.42346,9.3860285,9.078811,9.134739333,9.110005167,9.087041,9.110145333,9.097396333,9.068471,9.122531,9.102658333,9.283782833,9.282699667,9.358498167,9.521411,9.4213935,9.383547833,9.328028833,9.395142833,9.504163667,9.179780167,9.2046875,9.341361,9.300835833,9.399707167,9.297433333,9.1965885,9.234979167,9.274694667,9.224550333,9.253613,9.1803575,9.190560667,9.102184667,9.080860833,9.296292,9.1450435,9.1595695,9.285278,9.268144833,9.271853333,9.2897115,9.304363667,9.323698667
