"symbol","GSM3332695","GSM3332698","GSM3332701","GSM3332702","GSM3332706","GSM3332741","GSM3332754","GSM3332758","GSM3332759","GSM3332797","GSM3332799","GSM3332820","GSM3332822","GSM3332831","GSM3332884","GSM3332886","GSM3332950","GSM3332991","GSM3332997","GSM3333012","GSM3333013","GSM3333077","GSM3333081","GSM3333085"
"7A5",-0.27803196436901,-1.54429631049723,-1.13621600727486,1.0509670796412,0.139708225737934,-1.84774604580825,-0.36407301471883,0.943611665096932,0.977984733208906,0.274856383877078,-0.297520660276389,0.12160863309451,-0.385348292435361,0.278120131627658,0.583409403563726,-0.539227352465975,-1.52283875828965,0.123313121917218,-0.301709266566291,-1.04344546097984,0.691266906730647,2.28822985040466,-0.734864658408628,-0.155269219213034
"A1BG",0.816867057873769,1.52158667889912,1.25348015429856,0.532374760155882,-0.722537328044589,-1.32684096784136,-0.358491748315329,0.0301732465444623,-0.802983564319687,0.44783509834659,1.06738535154346,-0.266716058308812,-0.123062421183643,0.784918036575517,-1.06976393665876,-0.0655210054896476,-1.26821595017366,-0.243730642290102,1.01617261202057,-0.949626063319728,-0.791079483006508,-1.0490751934516,-1.23721331257391,-0.564781499218709
"A1CF",-0.0454449981357313,-0.61381573804015,-0.583269297323853,1.01536484240421,0.652421712638908,-0.0193386131030045,-0.383424116279426,0.834160066511003,-0.471978093599119,0.07067499216952,0.0602729033829475,2.24420687212364,0.628303688149575,1.84607449758432,1.77223236346322,1.09948929364004,-0.310904192406075,-0.471625950256247,1.22753091566024,-0.879253211303186,0.874852040775267,-1.97905009697405,-0.762559690721056,0.396069923726451
"A26C3",1.5548579316449,1.2995528003638,-0.965316209715304,2.29186848821606,0.896219404378414,-0.143664964750141,-0.268709886704924,-1.75010909393013,-0.452756813253006,-0.660293530338772,-1.18238534193136,0.975037896348351,-0.203003735006518,0.794948091596846,-0.252786155426697,-0.929117388362196,1.57682701325853,-0.298125803910205,-0.255780381011129,-0.341629059623331,-1.22276120728141,-0.649692088708853,0.412361756045816,0.438768715066274
"A2BP1",-0.336007092479073,0.386988655225629,1.20852284034295,0.722885916231114,0.60203001391556,1.33445188381511,2.30283275100104,2.36652708952589,0.900564090582878,-1.35632487162519,-0.913911867561946,0.824928427340085,0.486344417051402,-0.696985477013711,-0.156973738212222,-0.820410701762771,0.99997321983776,0.224496718957289,-0.93297030962882,2.0996219700979,2.07180325917023,0.178072657967452,-0.316175836459896,-1.13838982885245
"A2LD1",-1.1131413959722,-1.78591710362806,-0.277523450704106,0.281390094326076,-2.10490516059695,-0.908930505271603,-0.711172177235695,-0.510951140009042,0.259089361219468,-0.0593822545890444,-0.31008395780746,-0.748306390636293,-1.32483649397789,-0.911879028677739,-1.7712969046888,-0.429431384601004,-0.277996699325921,-0.89210524954323,-0.336629597021874,-0.444359564256644,-1.30112055113514,0.149999773576352,-0.162666885881603,-0.926672965138053
"A2M",-1.46940863245395,-1.20606962873447,-1.11115465781333,-1.12885504912563,-1.3303049913678,-0.364224222853527,-0.623536665454432,-0.630751480387528,-1.55028173698188,-0.440042084981236,-0.577354295915905,-0.459409963450159,-0.707778572713839,-0.528765446797015,-1.38659225731429,-1.59479295850727,-0.579452240415804,-1.42585655115943,0.237885603339418,-1.08908165457278,-1.20156637901703,1.08407724517094,1.06098704950105,-0.668414068562186
"A2ML1",0.134061756439022,-1.00592200324458,1.1319544368283,-0.574428963975324,0.0344893292625555,0.89079961780955,0.172379995456849,-1.59039558290103,0.0457179407613878,-0.643800377363081,0.914139372258097,-1.64657815990748,-0.162016876716953,1.72144989147933,-0.163106443358922,-0.354047625636201,-1.14747466140619,1.74064305920006,-1.31925376274973,-1.31830576628476,-1.4048525193388,-0.582281879124418,0.342337637587958,-1.92024572325028
"A3GALT2",-0.188693090729074,2.05092054218878,2.09323313076008,-1.97467738050052,0.800306619285684,-0.272684711773713,1.31034017358724,0.409032153204008,-0.360654248529015,1.42778310390422,1.25723619485336,-0.0551595974623335,1.01454854625931,1.83623398734003,-1.22676644703395,-0.178155598985099,0.225978876516259,-0.96760069888429,0.391647435196863,-0.236131670571427,0.151576764046135,-0.553555581099617,0.273493201809464,0.082875774059549
"A4GALT",-0.872311536111627,0.259811888770516,-0.570595395668242,-1.05463598640145,1.05938309125178,0.422889685655386,-0.903585737647265,-0.590065288867714,0.219420495245886,0.594376911774947,-0.00881133657947699,-1.68706605372549,-1.39141226298953,-1.13243040166924,1.67748214140387,1.03067772402956,-0.970297000518366,0.402983779859107,-0.476421523642259,0.405382040182532,-1.47071372111693,-0.652759794666325,-0.797055231680432,-1.80365179817886
