symbol,P1_T0.0739587733885248,P1_T0.764989567203102,P1_T1.41374247241843,P1_T1.78638828577081,P1_T1.86683332854387,P1_T2.18959827569343,P1_T3.08140398314057,P1_T4.72817209448283,P1_T5.28077749230751,P1_T6.87038973885296,P1_T8.76250939226608,P1_T9.2172315620472,P1_T9.27564918657966,P1_T13.0420588327689,P1_T13.9697183271129,P1_T14.3531034155147,P1_T14.6373781884384,P1_T16.2902537100363,P1_T16.3217582808218,P1_T17.1076154864636,P1_T17.7513808927474,P1_T19.0322727843746,P1_T19.4537841933353,P1_T21.7083112783206
gene0,0.525601755843029,0.254377254059401,0.378730693336655,0.126499930294989,0.295169096157976,0.134240153268988,0.210342772460912,-0.114533988647701,-0.35446224509484,-0.447763505604425,-0.5570761687634,-0.533945108636537,-0.249833723373694,-0.43862144377067,-0.219458692060216,-0.227210775875786,-0.134215888127182,0.240418539128619,-0.0179375146326633,0.263746457401916,0.240965925372793,-0.0318532872293426,0.208437608344965,0.807577483746089
gene1,-0.283727371440667,-0.200962596668622,-0.494372217766498,-0.820611164565796,-0.730383052222609,-0.554566754050938,-0.597742529491755,-0.976441503018409,-0.597071252076383,-0.440869273103171,-0.414199208793879,-0.677767771180394,-0.534177806102474,0.125551795739498,0.731989739374098,0.683335207356725,0.385867084189635,0.525311192911997,0.750794693576138,0.67888020381397,0.791127156266283,0.649701899938244,0.617342399561252,0.228215518031624
gene2,-0.648042628976093,-0.684579996160811,-0.896786043748619,-0.824351782047483,-0.670339056643411,-1.09791596043048,-0.63401602581537,-0.71256850704648,-0.503551322028509,0.0169567113095572,0.0473379886465132,-0.169838256993753,0.696048465645552,0.473270859836145,0.706085895553957,0.721611046401937,0.6724273548067,0.519560711596627,0.774315673488385,0.732565819733326,0.789570476799749,0.168961413858192,-0.213402528944723,-0.221584031512425
gene3,-0.411977162508323,-0.411666666510593,-0.550195773458957,-0.709291535674373,-1.05686344488916,-0.99525906175819,-0.726610656819106,-0.710702270034161,-0.626631431482324,0.175598806641904,0.24641015215941,0.623694195764231,0.178204562754436,0.300760799854296,0.887210102638301,0.479096724671466,1.08597627493116,0.690328713101948,0.682830355801302,0.403976452884201,0.424777741484958,0.139041319779248,0.17088172717298,-0.447350964196915
gene4,0.457671999361546,0.873949389357414,0.980786966901243,0.884778628551075,0.466799928741327,0.401360229190871,0.614194998698536,0.183054345772118,0.320155375906107,-0.24121956191605,-0.488127053245417,-0.255134162129504,0.0896082422995679,-0.940565780557727,-0.490763029109996,-0.726940877768479,-0.245657869621889,-0.159753737048174,-0.596117522287804,-0.109179136855425,-0.364645756428078,0.200715054466494,0.0412782909544296,0.36904509619475
gene5,0.252973836908736,0.205058350699752,0.585911739821128,0.367078841820997,0.569388720656983,0.599647278411568,0.81297851467562,0.643837301903868,0.882921597219532,0.787068775273224,0.565089750989724,0.634756011242399,0.478658930846328,-0.493153398631798,-0.372026991490577,-0.635167542199897,-0.541008083407921,-0.514059335577926,-0.816597521401927,-0.714420723690299,-0.652170325409476,-0.283150203452183,-0.937573168989,-0.866562961869759
gene6,0.481166138744889,0.999464676839164,0.631465870717714,0.414949818271449,0.222425867969814,0.643115037594118,0.12568004873939,-0.279845074616697,-0.0750245286076062,-0.462765410143902,-0.29145262198299,-0.177111138740912,-1.15619440572465,-0.281130078858285,-0.739237083800365,-0.404366949810176,-0.571308617842671,-0.0476088061693495,-0.28054306763812,-0.16453636251095,0.24706400888143,0.826013655128338,0.650505002679775,0.806182120611289
gene7,-0.506202559977463,0.0690424343140351,0.61579090039191,0.518354223602113,0.460897890768765,0.241695989959984,0.058440388281473,0.497856527937276,0.874068255318172,0.673255089501497,1.38131007021194,0.851805980704927,0.28601265738245,0.143942056766058,-0.737490807681363,-0.291108598403177,-0.565769999794998,-0.509797406398676,-0.864291893211097,-0.526403864651136,-0.928215020999504,-0.746218291448272,-0.321447633032047,-0.450098945993347
gene8,-0.890672256944387,-0.416806161003914,-0.485848856881303,-0.149641341886707,-0.230553494958446,-0.347245642075605,-0.327413837087842,-0.451398326908231,-0.715051111793892,-0.595110565173287,-0.0856542190421443,0.515628386051097,-0.106874721400915,0.565859138985458,0.308367598931876,0.737191011947411,0.616775004131639,0.0900930255735809,0.335711187107306,0.555641407862722,0.613091255163139,0.744605327057195,0.176600258844051,0.566047100081396
gene9,0.978428919798707,0.625348691392894,0.55776954345841,0.551676824162271,0.585208300224143,0.484546109827356,0.460827393030937,0.0999450252107119,0.0269768510425168,-0.622434791370892,-0.495569487482048,-0.718172363799276,-0.572595209265686,-0.701904948200874,-0.318163829507554,-0.460980557942057,-0.662988563121611,-0.145072699282482,0.418116690913407,0.307315218001484,0.820451831733365,0.335169340895847,0.70665551300795,0.567883055144594
