symbol,P2_T25,P2_T36,P1_T07,P1_T01,P1_T14,P1_T23,P1_T18,P2_T39,P1_T17,P1_T03,P1_T08,P2_T38,P1_T00,P2_T32,P2_T34,P2_T47,P1_T19,P1_T12,P2_T27,P2_T41,P2_T30,P1_T15,P2_T46,P1_T05,P1_T09,P2_T42,P2_T43,P1_T02,P2_T33,P1_T22,P2_T44,P1_T16,P1_T20,P1_T04,P2_T31,P2_T26,P2_T37,P1_T10,P1_T13,P2_T40,P2_T35,P2_T28,P2_T45,P1_T06,P1_T11,P1_T21,P2_T24,P2_T29
gene0,0.842200476485419,-0.0411560544571835,-0.054556526314206,0.409439076108766,-0.603412570060888,0.524337232318936,-0.396119044442111,-0.788998636494805,-0.480437163323971,0.639059434701975,-0.355807570703678,-0.802408861617096,0.451218005107128,-0.198598804546478,-0.322390122481558,0.386086977380731,0.0155546778575598,-0.937955010637736,0.498979345917398,-0.415011448823881,0.873189079073619,-0.675618152328167,0.324897573714481,0.555982349460829,0.288634462129129,-0.391434520702432,-0.0899130577172025,0.954332471929684,-0.0455510858826174,0.679357033720912,0.0911990586359801,0.266112478534864,0.0203715559705989,0.779652257165269,0.297836091615057,0.799471721790966,-1.03293319202755,-0.24735002157384,-0.747812921034064,-0.367405692037882,-0.301307284733165,0.202736946226422,0.699688989310852,-0.0094325971898607,-0.459991765051679,-0.101503894080784,0.684303116557955,0.273772538359426
gene1,-0.916662027123152,0.363587888989446,-0.656068721105714,-0.62679364836899,0.780606908823161,-0.476636611450467,0.522816076572635,-0.144046616237922,0.483102133153744,-0.783120620424605,-0.200051967336414,0.536872658268465,-1.23638397156442,0.125779055707057,1.37716881961933,-1.09586676664964,-0.798754235888756,0.555602280293967,-0.877220521579398,0.453733375617835,-0.102760288079663,0.533643034206915,-0.967614374207991,-0.644240165555039,0.180552865591924,0.138937595534681,0.0044403754793211,-0.629861241845141,0.370909009669631,-0.383269783358609,0.114454210187919,0.0644332446877555,0.0014001719774256,-0.457399006369682,0.264524495561712,-1.28888185932347,0.589345060156629,0.364198335915738,0.919913573506993,0.449224593395727,0.699139888210555,-0.141683151434143,-0.126784415411013,-0.625652571838631,1.22985645502765,-0.496505362215203,-0.517956552126096,-0.40160151098726
gene2,0.354001538651709,-0.497078124784425,-0.501126393204546,0.814551518553498,-0.334693980757156,0.615905328400065,0.50910612241967,-0.344770963325085,0.127030372095612,0.61197999354839,-0.281626864976356,-0.83075250506571,0.789330644341555,-0.430308352770963,-0.724536467781745,0.58176632224085,0.547155127545161,-0.716863113528386,0.325966093657593,0.221692258133991,-0.226406338967364,-0.294914275479485,0.6300103734071,0.082390982242032,-1.02834512245624,0.117563664193764,0.150954280075929,0.570728308128833,-0.69350311632864,0.487612467781169,0.384492296672065,-0.339274923336623,0.792964698687054,0.379956409624015,-0.393434413076523,0.433743050863343,-0.912763283626093,-0.606696161438786,-0.685767566339494,-0.257481432286901,-1.06233293723072,0.314304571979537,0.291522947062988,-0.100714487587334,-0.728586559573471,0.5980139020816,0.606735222596058,0.0129526153775887
gene3,-0.464576905264212,0.947991980541836,-0.500154385399913,-0.758440111648042,0.729782652221621,-0.50461143637095,0.507428968257692,0.364028931759413,0.341970139787616,-0.613482882546152,-0.200666606204349,0.691896689808634,-0.188482331536641,0.453771016903102,0.962205594479677,-0.857540918070279,0.432825054549308,0.529453420230126,-0.691274477571566,0.528732073144943,-0.637147565178921,1.23540196082814,-0.3963575852192,-0.178990449578127,0.200960104359817,0.532037178888938,-0.502005279333547,-0.795726605739652,0.534772994953258,-0.66738793780314,-0.217112240423454,0.522082785721582,-0.253557275061415,-0.330160813872521,-0.416498602378213,-0.962939558239626,0.916738226796292,0.552945233617217,0.994093787836934,0.700449279954861,0.78969076784867,-0.645801655150284,-0.5110427339653,0.106588212127692,0.323226031851226,-0.255718787746903,-0.459624468117858,-0.0036562338292776
gene4,0.770557431299159,0.0697800372832761,0.588351337363724,0.412857611287439,-0.370966644534516,0.0082511397545935,-0.802404754731387,-0.440127672053277,-0.832148718340552,0.547842743200748,0.555565457510786,-0.551783496172527,-0.0567406015624533,0.675824134157785,0.745466405467903,-0.105943291387786,-1.67908281595178,0.101442830243198,0.582316303595251,-0.896525679442552,0.701416142228903,-0.654709280364801,-0.947774971257346,0.456706035859038,0.477103913177082,-1.30083495923281,-0.890611360043445,-0.429369544416388,0.667473939345288,-1.04910598199643,-0.951983060326629,-0.712827922575269,-0.635748262302681,0.462457261087718,0.569512552867903,0.524351972286785,-0.69897114372271,0.801804268432806,-0.229253032685491,-0.503288833788604,0.228634710597408,0.88752996847647,-1.12416017012805,1.36252901120025,0.0924656858813402,-0.828795923359929,-0.170368756053547,1.11762636580167
gene5,-0.880106980433475,1.16473048431711,1.17942748094107,-1.3035281480921,1.16197510077175,-0.992671707534479,0.463259067073465,-0.0631009721268071,0.579728006067705,-0.80411761418513,0.757866611698283,0.262175827843954,-0.893624800099444,0.48682388595415,1.18719743027504,-1.17634963062089,0.214648243644012,0.782937397592634,-0.352148406588606,-0.239653023653758,0.665458811066628,1.04429271949683,-0.397895064170953,-0.537082298875902,1.13289893312813,-0.468878152062903,-0.636136809807984,-0.0085564227974716,1.10380813756155,-0.715981894898793,-0.768634318837425,0.505544741215015,-0.320473114588592,-0.118814580962894,-0.185997909847513,0.250987932371981,0.40498281526157,0.257909761714011,1.28092219795146,0.907396126473056,0.671744624654387,-0.310891958478807,-0.979082728364324,-0.730562002966674,0.888991470004464,-0.680204952488963,-0.684889760629781,-0.0705964396859249
gene6,-0.731930259630297,0.610273768892275,-0.280876003800758,-0.327762281456944,0.816578891718037,-0.28989584469292,-0.0984779866887761,0.897109059390214,0.757709195418578,-1.1228247006593,-0.156972199684915,0.723348711394649,-0.743278772392256,0.351715342771033,0.465450586354318,-0.917806166516817,-0.17690514470428,0.529057598500559,-0.61257383697176,0.588798141509816,-0.438286851243947,0.675852085566221,-0.257456976655542,-0.514285530469423,0.210947221795467,0.499652555935071,0.165621538453139,-0.800219787450244,-0.0239406982413138,-0.123215485135937,-0.186876517740701,0.481330810084564,-0.374589942003076,-0.783827434419235,-0.0279659979082489,-0.720533334573994,1.05880845301211,0.418697913735447,0.766338923426545,0.486711178059435,0.608608754056585,-0.519649646712936,-0.188784002309013,-0.442534566541035,0.48020208204458,-0.145001289097014,-0.785396914279078,-0.305738265273173
gene7,0.525172673703774,-0.590502972782565,-0.0679567205242821,0.625446145726648,-0.398444038057524,0.735578345041503,-0.103753930361188,-0.555998489608958,0.203128763204316,0.406910176377807,-0.306478204794282,-0.528001204785641,0.601056210910823,-0.204076144445701,-0.551954942167737,0.718621975507246,0.339553691683876,-0.427479685980028,0.566597535959561,-0.231031510706795,-0.0904967710899097,-0.318698353747278,0.664988670330224,0.113729321910893,-0.322570061626253,0.169248189231847,0.121751592003719,0.369633195502127,-0.504464819296869,0.804330032618565,0.322660726541751,-0.248922950232214,0.391049923403794,0.244766498721473,-0.411462226062309,0.665627899838881,-0.341353726559538,-0.558471110985787,-0.732828191909474,-0.0486391354330901,-0.559498463595399,0.194856739168885,0.528477515317601,0.0459659333164839,-0.698524748213167,0.763879322255217,0.443882584264004,-0.0119599146957335
gene8,-0.831410167074981,0.674806558827384,-0.203670767066402,-0.651871268232945,0.644271024740435,-0.630181844494957,0.0723981283783045,0.228595120359198,0.230172910990024,-0.207878252007603,-0.0559322290462157,0.578877041521192,-0.44287788875831,-0.0322617741684718,0.432829204603113,-0.466346422141986,0.459653468167784,0.878337171651563,-0.836585275875067,0.359913969042563,-0.0985890837287589,0.666724315515575,-0.194597551033065,-0.451833270340838,0.256811489583375,-0.194395476179355,0.0078304714795508,-0.573899759925513,-0.0331229465841715,-0.121804416300155,0.135296298278885,0.516255339148267,0.395884460315635,-0.19768929970083,-0.0003676742870921,-0.656751998028566,0.767957505883988,0.465716702709836,0.303424664971001,0.60610659320268,0.730928245014345,-0.760342306501423,-0.491655802810336,-0.45885983287995,0.467163261991293,-0.545986466377227,-0.625698924263801,-0.664152523143883
gene9,-0.0033482604334666,-0.300427249254163,-0.788371016861427,-0.215507043998406,0.0718719876821634,0.242565701536054,0.678169528432335,0.147474476695121,0.687187337258194,-0.365545758105936,-0.37950688448499,0.156234945612083,0.248571459311921,-0.71754545114664,-0.366443758615486,0.329853822832772,0.521654195170335,-0.151265436624084,-0.124321745293959,0.62341532100684,-0.536350089001506,0.117858955104285,0.587342566026996,-0.518554847318344,-0.346835721557822,0.622550120863276,0.672533541276801,-0.143229733889418,-0.429618863964748,0.526929468347609,0.64622907156648,0.345599220087779,0.352715660344591,-0.383673790979445,-0.378104859100345,0.0402680912297114,0.0729726013255698,-0.697777274935326,-0.189257150735521,0.271998380455795,-0.22597778085697,-0.508709244880894,0.576149669526487,-0.736698350525325,-0.283817554933864,0.68363022922271,0.28838515548693,-0.36600658376728
gene10,-0.223601331638155,0.411327507702142,-0.916355416386957,-0.247366214679776,1.05262243215778,0.0160033172003781,0.689342002255689,0.589674643753798,1.11609854029873,-0.489173348378524,-0.71787178785704,0.281038445570394,-0.404411969691917,-1.17756682451343,-0.453703872263405,-0.0993518909925079,0.71825099445778,0.326000901302574,-0.8126372360144,0.806282985763649,-0.869500590033784,0.678998024735969,0.685644320525344,-0.820292088138706,-0.783676560879984,1.23018717231044,0.953414798835785,-0.29709771701493,-0.226726837136283,-0.0185872626140071,0.826497787479177,0.798117278385649,0.575213862895714,-0.807162675804635,-1.16281179589281,-0.658426051390353,0.364012868355957,-0.443931942287236,0.624017644988791,0.951925490484384,-0.135822003364906,-1.12091435423386,0.689620220355755,-1.41640632178602,-0.172082885400622,0.9163468493253,-0.32423560925668,-0.848815003198313
gene11,0.860741409649649,-0.133229897983926,1.53767746265507,0.713398338026299,-0.946724606600324,-0.33833729444502,-0.426722345867201,-1.53304874431756,-0.805233285731619,0.542893740039564,0.115985104761393,-0.488930361780636,0.533267937257107,0.992485036645026,-0.0247815639065591,0.879640857104161,-0.268393505254573,-0.283866308213902,1.19775008375183,-0.367819060996504,0.421529230510399,-0.974196679146517,-0.0775972448046889,0.101103950103464,0.166856160897606,-0.680796926300266,-0.585266298390086,0.480742769729314,0.122527750382746,0.83733045493702,-0.948531494612679,-0.483485914396396,-0.0932538477291201,0.995834460210558,-0.453884689974797,1.41918307747536,-0.555803529852114,-0.458121416014168,-0.491369758551177,-1.06622399042404,-0.540369566946017,0.951897237110957,-0.134282342229717,1.29088056127409,-0.490263252333477,0.407158646326191,0.444025011679956,1.23834618809391
gene12,0.317846982480316,-0.429716767383795,-0.94583118106482,0.319055900564316,0.397650623984659,0.563769500244577,0.877947545750696,0.168106007909413,0.455073013931983,-0.492583030728483,-0.783737610179548,-0.166140421047665,-0.0054792631526575,-0.807635806434537,-0.851253975012765,0.420277869033367,0.925518878000838,-0.149419265667567,-0.343901997565201,1.00922796845207,-1.00384172253485,0.0588516486857801,0.551567837921704,-0.936701854773181,-0.866446030008483,0.670222750531158,0.640611180154697,-0.145296842829766,-0.458696271327239,0.65907271144114,0.779953034083132,0.53494676744602,0.95807544049339,-0.406648680991278,-0.81509871144991,-0.526590628675826,-0.307486323769768,-0.598094141154939,-0.200910319035147,0.551312136931634,-0.497897539724709,-0.466881231201114,1.18467859286031,-1.0043205737464,-0.383464811888418,0.621633758761656,0.303567250881784,-0.918209463328029
