symbol,R2_P1_T06,R1_P1_T20,R2_P1_T20,R1_P1_T22,R2_P1_T10,R2_P1_T22,R1_P1_T10,R1_P1_T00,R1_P1_T08,R1_P1_T06,R2_P1_T08,R2_P1_T16,R1_P1_T14,R1_P1_T18,R2_P1_T12,R2_P1_T04,R2_P1_T18,R2_P1_T02,R1_P1_T12,R1_P1_T02,R1_P1_T04,R1_P1_T16,R2_P1_T00,R2_P1_T14
gene0,-0.879554442207506,0.300617836439613,0.328452274583497,1.31409114994368,-0.788713919513902,0.850291401747908,-0.941365602563018,1.60045447971543,-0.301103074935121,-0.333088670823483,-0.399489009444373,-0.205982498749638,-1.1652085876539,0.228762988244159,-1.05967396940101,-0.185105373078018,-0.23214703356903,0.631782948034868,-1.35442517414238,1.82616586201659,0.317718642329875,-0.662155682840895,0.751168415134285,-0.83207190974778
gene1,-0.338784103423753,0.370951459312428,0.660261068117005,-0.285020704018371,-0.139411196966375,0.167845001511818,-0.141136076952512,-0.574852532732454,-0.427765107835222,-0.215947447342131,-0.399824333652947,0.795392871990334,0.711790346049696,0.725492576526785,-0.224030674829136,-0.242930450207187,0.844778569424377,-0.385964215171501,-0.018041379443104,0.054627747878338,-0.747524707956992,0.708006739848537,0.0690966546914394,0.435229737945478
gene2,0.049127975864955,0.0549933823316912,-0.0917434876464983,0.337542100558539,0.144928304327844,0.251985642649151,-0.04050097204711,0.53418976167401,0.0281078876245696,0.833129840804675,0.104830807616925,-0.582979612567103,-0.80103761828629,-0.292190932570239,-0.542978782262325,0.53328436671285,-0.53278649755783,0.656769618307917,-0.482262788289373,0.771824288313597,0.610724147843259,-0.460301348779401,0.736477907225311,-0.490067186893857
gene3,0.495214119957529,-0.226068078238297,-0.348975406715064,0.223400528649976,-0.403685295881538,0.641284418084419,-0.174465459495119,0.541193373830167,0.075401814650818,0.222176226338651,0.0012080997789853,-0.910724997074212,-1.09502461088548,-0.39691239524257,-0.79782989494966,0.95009507928736,-0.501209951285622,0.758314061791632,-0.703734894661039,0.785979187202788,0.844338498565789,-0.758018803742512,0.534001891133224,-0.956998902460992
gene4,0.679210780974684,0.0428638936452697,-0.439880482252949,-0.0286036983626005,-0.231109108031259,-0.0277968812145034,0.0415507072614015,0.311388413208573,0.594964349054578,0.684623261460195,0.488638374569621,-0.586054912925052,-0.445680919085986,-0.694817501126009,-0.0499230273727931,0.7734499363784,-0.646875377448328,0.636894167896574,-0.457582089677483,0.348903417467079,0.90158091984734,-0.980232716319585,-0.0472135884831671,-0.588708684896991
gene5,-0.0090521692811216,-0.279189697008825,-0.392300481938096,-0.507407052141582,0.668646124149468,-0.519361360187264,0.579650111502116,-0.869844317326522,0.57414964106735,-0.0824449645104145,0.627655280508258,0.162628192161272,0.667055886008584,-0.28166793351203,0.842819151734538,-0.472126417080085,-0.288841928908266,-0.529139060381543,0.759736943735626,-0.489002173827668,-0.387142661189645,-0.179344055822273,-0.993114423741365,0.282221979979677
gene6,-0.0074579169623004,-0.590910559597037,-0.591261633052852,-0.478516375483476,0.932677752293131,-0.855180883187353,0.480070576175574,-0.448572086666676,0.365018746054267,-0.123017682024321,0.383390293098603,0.0835961576144584,0.631928351751859,-0.0800457780259228,0.448167536451247,-0.384646370682803,-0.129197010938022,-0.369060666687752,0.585119417018297,-0.329729715995384,-0.45889827252076,0.219394532008692,-0.620211319565364,0.364543415436015
gene7,0.277756270354442,0.0700388126981124,0.018986346262465,0.2084475334006,-0.125091636893237,0.0808957936786741,-0.113748438550926,0.227575655408552,0.116321318040825,0.418026437736619,-0.252627354414788,-0.341874317179308,-0.731271078137771,-0.123629669066542,-0.448729055594123,0.470412982103137,-0.142927502762762,0.610271839604974,-0.536331704894332,0.644577216944769,0.179790330621935,-0.283308618186912,0.527804579444066,-0.363839853242684
gene8,-0.459830307414859,0.548564004392761,0.613227581383741,0.319810329058824,-0.414856339681123,0.384519344992282,-0.273882961730061,0.0420041909355364,-0.473624785424808,-0.570493752878512,-0.521773911703582,0.349598926894444,-0.0387635965390875,0.631440746400708,0.0371851390275453,-0.424955881438409,0.655935772115933,0.0966419943549021,-0.201719308121647,-0.172111273290094,-0.516830311765235,0.466278161667497,0.102300011420738,0.215183988026986
gene9,0.577285996956779,-0.102700703899305,0.290355808932018,0.160737984877286,-0.220109844345652,0.346800370088704,-0.120728510935287,0.776180198291711,0.243328343395944,0.593941173235178,-0.157785499309845,-0.479770164707563,-0.984423765074628,-0.514276215846172,-0.970170540487327,0.732257209302383,-0.344524941348154,0.679873419841586,-0.884533905115973,0.343149324367736,0.358274568421032,-0.92034630637687,0.481129166820197,-0.91104570577787
gene10,-0.163241917644189,0.831391461968979,-0.110838097135045,0.398701330159106,-0.171861764022867,-0.561513017379281,0.176510279923943,-0.566947022493465,0.0529458056879455,-0.385853000314528,-0.143594778212409,1.07497575833586,1.04802117662858,0.571904600985375,1.0713377091455,-0.70733413195438,0.533382800160855,-0.904898896074947,0.289741921635557,-0.734621108732876,-1.14637916548296,0.979053660791674,-0.797354291690322,0.651455247413403
gene11,0.573521548110754,0.197073770528349,0.184633455135417,0.19688811602382,-0.45905926522103,0.202210128816738,-0.183772392146666,0.671382649304028,-0.330671484698622,0.693440892705684,0.0390958643362051,-0.751709860684342,-1.19994646042405,-0.259603193331307,-0.787795216179305,0.595714384275468,-0.31409852290062,0.700554585067395,-0.369631188804952,0.818091518284157,0.390801320543438,-0.619629615900068,0.415614503368301,-0.910259832197591
gene12,0.480447693399371,-0.553837153712661,-1.0432649665762,-0.670306399498667,0.717336897021277,-0.523513276737547,0.66646658725745,-0.25547418503964,0.770371855138788,0.789216099540034,0.903847943926657,-0.440962493570863,-0.388168763811451,-1.1997872959826,0.406108517249622,0.56591006294278,-0.619310426382541,-0.155104277556485,0.389934795986936,0.0470836104757485,0.365807961662244,-0.433283891977243,-0.0264821926170109,0.256256804588681
