"symbol","P1_T6","P1_T7","P1_T8","P1_T9","P1_T10","P1_T11","P1_T12","P1_T13","P1_T14","P1_T15","P1_T16","P1_T17","P1_T18","P1_T19"
"gene0",-0.696314715484078,-0.296053867084495,-0.922016793181053,-1.25022350956619,-0.676982842685789,-0.322096452968418,-0.330111049535413,-0.0266440882047385,-0.398071563702627,0.302386405396628,0.733771732391931,0.865537587185029,0.300618863382593,0.771206665471598
"gene1",-0.735450949378535,-0.700376330427511,-0.547271167925747,-0.164321969525036,-0.310697061139078,-0.323671636116,0.0701263371440318,0.176113098041366,0.496212672357261,0.327686590666503,0.381133667333657,0.560290087032633,0.679271779313294,0.903977722739141
"gene2",0.00478702508371032,-0.330992765352136,0.0425851426670175,-0.337393661369296,-0.681692535488012,0.33643112200186,-0.786565113585462,-0.418909002921009,-0.737985459349258,-0.988163960927946,-0.596773422823755,-0.288124274898016,-0.165968741680914,0.0329982075080559
"gene3",-0.326377782585018,-0.632707665350697,-0.618261908688817,-0.707882794822755,-0.639207958275283,-0.659432410225914,-0.566282240659276,-0.351872644161402,-0.11992740426955,0.0377314032940853,-0.0143515564234972,0.289539579732082,0.471523398827617,0.613734252291542
"gene4",0.659075132735898,0.78034208601722,0.580502331939505,0.515301520361766,0.813232065770155,0.457819603230293,0.396132649526708,0.658021114212972,0.196778949969044,-0.121125504749303,-0.261862698082994,-0.407174459002494,-0.329314436354485,-0.720863163139862
"gene5",0.512890766129337,0.492636111866945,-0.0797126168463026,0.16809993602808,0.113138077937912,0.00349133430231842,-0.027102595508865,-0.593403496598016,-0.795019020706763,-0.386582040612808,-0.668177983827397,-0.356193757844359,-0.375723255002547,-0.0571699997452047
"gene6",-0.486808964346231,-0.481949140639226,-0.47769581059142,-0.546339813270553,-0.73156387572604,-0.270145065395365,-0.0883429981231401,0.021695723646128,0.235256391945466,0.42466979952919,0.29213304233919,0.743164470865933,0.643907487575001,0.400483753860276
"gene7",-0.826059920490098,-0.526806286334136,-0.531392850620716,-0.757084678508397,-0.714181908821661,-0.581108329630505,-0.141868517149602,0.029226173511288,-0.140979676295277,0.301361812673419,0.499903266945916,0.484591079782835,0.736362197456259,0.562705030623967
"gene8",-0.0965952407971693,-0.305595536465228,-0.586748488706117,-0.832037662928703,-0.525547731400036,-0.522350621111344,-0.255387082862035,-0.629216773389381,-0.152681061020312,-0.427809910909361,-0.279710674226024,0.0514147926384012,0.522301823377363,0.1331719818274
"gene9",-0.458963609932891,-0.49391827800787,-0.732566248722693,-0.318186987790694,-0.379085281333348,-0.123432516624804,0.567884457108055,0.787552041484533,0.419781575262215,0.803615103455894,1.11950184791063,0.72198903228766,0.817563485672918,0.962864976464906
"gene10",1.08176987005073,1.07937136552144,0.778223619285093,1.16361673171426,0.121837402133939,0.464084097743859,0.0837007856847091,-0.250175882311756,-0.304068032687069,-0.161110153751099,-0.60700853461435,-0.185387223893033,-1.02336029962383,-1.25497075300507
"gene11",0.282558861749353,0.480592718170414,1.09791301295681,1.10917398569572,1.14809333571957,0.917185420621883,1.03800619013616,0.820021858888459,0.506927404728187,0.963657028883542,0.335971701165996,-0.153931272808808,0.231868766954188,-0.830983024754426
