"symbol","R1_P1_T6","R1_P1_T8","R1_P1_T10","R1_P1_T12","R1_P1_T14","R1_P1_T16","R1_P1_T18","R1_P1_T20","R1_P1_T22","R2_P1_T6","R2_P1_T8","R2_P1_T10","R2_P1_T12","R2_P1_T14","R2_P1_T16","R2_P1_T18","R2_P1_T20","R2_P1_T22"
"gene0",-0.435597841255719,-0.240224584542535,-0.550631326599645,-1.25763673701681,-0.147417052129435,0.0186758220966028,0.609014415565003,0.543875843948102,0.792734779941168,-0.0582121925914373,-0.276988340324138,-0.721120475544622,-0.882854190640984,-0.0370698497379072,-0.528158443029903,-0.105453271184925,0.348382186018798,0.398159062784733
"gene1",0.518014330703879,0.608037290380607,0.0635922533326329,-0.0471950264117595,-0.132019563279663,-0.46976401925077,-0.433944150345042,-0.475104844229126,-0.0123556997452013,0.595670693381485,0.407032563199202,0.153293483361227,-0.390522151736881,-0.347862382802095,-0.476386805050698,-0.536875539863663,-0.432970680499182,-0.0991073212039387
"gene2",0.184741114604991,-0.588064479372541,-0.422865986888583,-0.64303226587642,-0.140917122911601,0.102950581081059,0.173553753622494,0.387460353312845,0.135135278886857,-0.58906918698468,-0.551199806608987,-0.531330472452086,-0.327827610255995,-0.283329820437956,0.0448178449019234,0.312196312313612,0.753702993594072,0.658282584022865
"gene3",0.447647701006621,0.321486834183621,-0.0110918191773314,-0.27051664803008,-0.575427731258802,-0.566166994026451,-0.616049445819673,-0.329499271659836,-0.212570224822247,0.62285057364992,0.67743672063515,-0.143440591801285,-0.348009992934197,-0.880466138066192,-0.635743025456389,-0.704255798161334,-0.811900285736001,-0.067560388310456
"gene4",-0.0538006268823621,0.113287152174202,-0.107944070947666,-1.01581241291735,-0.413723237564144,-0.476562224571618,-0.293640009161961,-0.226897812520484,-0.235720778680804,0.298301208501391,-0.0707240907674175,-0.0909249130490384,-0.233758240908949,-0.46213978813809,-0.399989436314789,0.0205857049844512,0.0885441688067506,0.366613254562526
"gene5",-0.516675468097897,-0.713400553084615,-0.568536396173992,-0.811556808257965,-0.315840388382537,0.313249729406118,0.623032941619106,0.715464919595046,1.09647588837885,-0.403332966854636,-0.546988366238673,-0.421733950620212,-0.480902627239116,-0.106316721815441,-0.153370208515613,0.713786828660775,0.766883666743162,0.933986364501897
"gene6",0.444553886012163,0.282672585239069,-0.0632830270927444,-0.215004903058928,-0.344501578013161,-0.478577738027826,-0.499319732738105,-0.272148846172315,-0.309791144476202,0.313986791186291,0.172565389327504,0.389997892823702,-0.225124159957659,-0.2915560526313,-0.506890875546144,-0.460747506691545,-0.351248765483011,-0.170958038517341
"gene7",0.120814695428168,-0.445893176823532,-0.809433805923464,-0.697148196840636,-0.684721354343316,-0.567361233843115,-0.253978060060399,-0.151205360719038,0.821522055668601,0.126120761644739,-0.397971148669386,-0.652493910787575,-0.78974131857291,-0.69619766619388,-0.416010486621895,0.331643059591655,0.475625077857591,0.798715413623841
"gene8",0.363681679193671,0.387916530072515,0.822528638588898,0.446749903297163,0.098285570064076,-0.0772110383176917,-0.378492440024778,-0.900829677254509,-0.449051706445251,0.409095908447896,0.695983108856951,0.629144387373016,0.27233265209454,0.172619726497648,-0.0637801504698294,-0.266764351887357,-0.310135748830258,-0.674926177509584
"gene9",-0.586849610128183,-0.11877389839965,0.570712465033345,0.407846526089444,0.739762388368822,0.626486648501049,0.427783911002866,-0.165894946520958,-0.610838421609771,-0.421726668875311,-0.192467725883379,0.699654006897643,0.564839853490433,0.547224504368602,0.255376003646119,-0.0668462591529257,0.016613798268029,0.151926390154566
