"symbol","P1_T6","P1_T7","P1_T8","P1_T9","P1_T10","P1_T11","P1_T12","P1_T13","P1_T14","P1_T15","P1_T16","P1_T17","P1_T18","P1_T19","P1_T20","P1_T21","P1_T22","P1_T23"
"gene0",-0.38232727989335,0.191631335822231,0.0532259829411538,-0.116892495916531,0.916187180372155,0.797337212342649,1.52067767265055,0.68521589286288,1.31415376960664,0.834258989296958,1.11790662685535,0.712719657934523,0.572751881043367,-0.221692310260449,0.259669824985629,-0.0956464911525146,-0.968036245155875,0.217437355257058
"gene1",0.334141176403801,0.48437407931771,0.315329197775692,0.577563659672672,0.711269992609188,0.770370165225661,0.878540746743532,0.365009625638534,0.471682866830795,-0.231128938235942,-0.357588435436239,-0.371657511510188,-0.467577019730114,-0.573315049737456,-0.332032427554351,-0.908289898408466,-1.01425672528361,-0.788278779511632
"gene2",-0.336871503581571,-0.546267890669182,-0.464367896738954,-0.823289011277761,-0.880184651699843,-0.442133522740605,-0.753527961322315,-0.432311448135719,0.0394993856193403,-0.411314855298934,-0.287076788097981,0.158419448387724,0.34940354314039,0.218480872123872,0.300480575187259,0.569991378380407,0.661490519769612,0.794462261075551
"gene3",-0.394119178560454,-0.426511701505984,-0.263905490222628,-0.826036245960828,-0.696034575133608,-0.70385357866701,-0.783006999847209,-0.596722633908382,-0.508078164647114,-0.667198274106232,-0.368898478317867,0.0433453902254372,0.00561417055737604,0.0999288076718171,0.633354966519444,0.791930668258972,0.944365779120498,0.834637925788039
"gene4",-0.617192838679866,-0.948696360285437,-0.750803381948224,-0.168691837155366,-0.341592282369766,-0.272375938446747,-0.0816467126123267,0.0524419926784893,0.860243327321013,0.77835735378556,0.640831442923775,1.28853425196096,0.813107283686112,1.02235378540201,0.891869061924233,0.155626444113736,-0.129174395197502,0.181810325037496
"gene5",-0.550510299400555,-0.717042838186127,-0.393022506261964,-0.697316271160628,-0.912239408685183,-1.37201503778855,-0.588485742291653,-0.432612918107835,-1.04794101113698,-0.197818775969807,-0.501056902532298,0.0204865776398743,-0.417058567164414,0.232105056809039,0.774602735276859,0.960319055425187,1.27356721321817,1.23506424111767
"gene6",0.997147938082506,1.28483439293118,0.796462046493347,0.616730275774096,0.343679922863344,0.808518749961603,-0.00283437625725723,-0.676955594360622,-0.352790696526883,-0.553508967948453,-0.912442239276536,-0.864019998387941,-0.241047900456655,-0.514313670991092,-0.641947665013664,-0.565200377677615,-0.435640786065045,0.0243160787970207
"gene7",0.650443126769095,0.683007336975365,0.753074604476485,0.887447163619643,0.674340036781298,0.584942968097685,0.471874452495484,0.106394933301872,0.0390562533383634,-0.147755384907293,-0.0536118249185422,-0.513172883272421,-0.583237363971589,-0.665923535616516,-0.767895854929106,-0.815905682645664,-0.327533299992807,-0.366678690501431
"gene8",1.03178724563587,0.671233978008755,0.375549316058718,0.595039441019106,0.434738103151997,0.0790006412424581,0.329320729166362,-0.15458060181201,-0.168454051256913,-0.38270976576319,-0.618846460281713,-0.267009677129243,-1.22660628139722,-0.619892339328827,-0.625061188494335,-0.556659312408687,-0.715281655492011,-0.0200323733950332
"gene9",0.802552417777208,0.737935981312967,1.31179478763549,0.959969793887729,0.44985273288333,1.11926667720944,0.578160780602767,0.400949893890451,0.409628557859807,0.046743252195541,-0.0675230144527401,-0.178405501273432,-0.753463349954509,-0.503331566221208,-0.878472891423529,-0.61673893235005,-0.473202403866128,-0.562814443414929
