symbol,R2_P1_T16,R3_P1_T04,R1_P1_T00,R3_P1_T08,R1_P1_T04,R1_P1_T08,R1_P1_T20,R1_P1_T16,R2_P1_T12,R3_P1_T20,R2_P1_T20,R3_P1_T00,R2_P1_T04,R3_P1_T16,R2_P1_T00,R3_P1_T12,R2_P1_T08,R1_P1_T12
gene0,0.491762904751927,-0.0703522067106463,0.386876902989895,-0.789938704097743,-0.352083240619547,-0.515975053247526,1.09937596010438,0.344998036109384,-0.119947562354125,0.877826279178128,0.934494070210752,0.0013055448441787,0.0633232254754066,0.377455881117087,0.413201426403679,-0.0678344665605015,-0.839763946439221,-0.626354255546875
gene1,0.285238205261734,-0.477119122487482,-0.457143665293294,-0.0162634762342118,-0.325770930070479,-0.15519588508846,0.298645491496437,0.55659749398888,0.41463776706395,0.0413064508641727,0.250516535894013,-0.412140173362308,-0.488865558421965,0.53753322982016,-0.229590274946551,0.609562398367111,-0.345405097358047,0.418821609298224
gene2,-0.624685565219326,0.506614984301246,1.56356888386066,-0.672464438510459,-0.169905688404702,0.352207996633925,-0.482378001229345,-0.617220703905751,-0.928357145976071,1.23007624434037,0.562770917362322,0.610635136831811,1.29155709072174,-0.272050008299442,0.531789186552071,-0.955662492572753,-0.826493059699031,-1.09080867989088
gene3,0.683138992670237,-0.7942074360432,-0.379998153888055,-0.614578231230278,-0.958736974559802,-0.371503346072929,-0.306809132429419,0.218064052457183,0.510296771309927,0.355268850586179,0.159904875488674,-0.509092258379483,-0.879235818009675,0.875646598486772,0.257553972806931,-0.103418543236158,-0.186639925540709,0.0276977522779016
gene4,0.714223110820589,-0.839653814963659,-0.295105083036142,-0.276266396254921,-0.751642263007048,-0.334563712829722,0.0676622423719951,0.737205182188312,0.340366777734645,0.0779074852914482,0.22789688849032,-0.367969114333457,-0.536384920962801,0.459982946336547,-0.497361221668736,0.318761523408722,-0.271632046705513,0.303842864386869
gene5,-0.977504335197818,0.875355155231164,0.0153060625160622,0.225290999221286,1.08303569858714,0.809990723600131,-0.148123815737806,-0.576424499228757,-0.371468599289836,-0.580402705218877,-0.0956834631024737,0.545903038422014,0.847788328499129,-1.24944505018932,0.221759923911043,-0.0440840106318141,0.758250561195568,-0.534432893111227
gene6,-0.564488143493969,0.29226266624145,0.638074947494141,-0.206999664102918,0.603654619028183,-0.343420764185901,-0.406396827167154,-0.117192303626463,-0.947024437235079,-0.0007684000212115,0.0732569337997823,0.199094452644547,0.921911097107594,-0.889271748385487,0.620721824146845,-0.265536935191825,-0.501559460402724,-0.438466327944721
gene7,1.02588480449233,-1.14202424371248,-1.64532254535677,0.242799772814254,-1.0534909756227,-0.334448590894142,0.28546751385318,1.45477061892495,1.09108318727912,-0.170884821963276,-0.305993849657225,-1.10242812521747,-0.983261993991627,0.688808399281775,-0.68894388086658,1.1781979616286,0.42143388147308,0.863758621005745
gene8,0.605973604107854,-0.847792786671674,-0.0933920716654194,-0.929742140482944,0.0324028797360942,-1.26100161739667,0.551592664154644,0.099624179417428,-0.183942986009547,1.18470556074028,1.06975427718378,0.400938543111457,-1.04380830815288,-0.169237589352328,0.363444336068762,-0.877392512526286,-0.963239011514512,-0.684030540375378
gene9,0.414229316169324,-0.436183494941863,-0.0377829352732281,-0.513418316266207,-0.889212519522373,-0.896515125172817,0.7409176125651,1.01291531970143,0.123180241742944,0.697584787541894,0.386219811139422,0.330765399532002,-0.815488451563527,-0.198639174216768,0.0219746755650221,-0.0955686234767225,-1.00613217444772,-0.765487139904668
