symbol,P1_T0.200324504689578,P1_T0.730281202020216,P1_T0.822252340827931,P1_T1.48400636341412,P1_T2.35784075145427,P1_T2.7337046079365,P1_T4.40816085733495,P1_T5.64628731841543,P1_T5.80052501062058,P1_T7.8114939031695,P1_T7.97670339401742,P1_T8.78437882426067,P1_T9.99293417793952,P1_T10.6994637115332,P1_T11.0091243218625,P1_T12.5810965390305,P1_T13.9468738788373,P1_T16.2638795570075,P1_T17.1654330921222,P1_T17.7815672759869,P1_T17.9421732019398,P1_T18.6597876329953,P1_T19.4747564521748,P1_T20.4992729693279,P2_T24.2003245046896,P2_T24.7302812020202,P2_T24.8222523408279,P2_T25.4840063634141,P2_T26.3578407514543,P2_T26.7337046079365,P2_T28.408160857335,P2_T29.6462873184154,P2_T29.8005250106206,P2_T31.8114939031695,P2_T31.9767033940174,P2_T32.7843788242607,P2_T33.9929341779395,P2_T34.6994637115332,P2_T35.0091243218625,P2_T36.5810965390305,P2_T37.9468738788373,P2_T40.2638795570075,P2_T41.1654330921222,P2_T41.7815672759869,P2_T41.9421732019398,P2_T42.6597876329953,P2_T43.4747564521748,P2_T44.4992729693279
gene0,0.266897284728504,-0.41632675668352,-0.0544103702295848,-0.167486466756318,-0.630507585404144,-0.278127526794436,-0.670928793537487,-0.96699789499059,-1.08358122057526,-0.747114296643714,-0.904960449895199,-0.842344996426055,-1.02976013802243,-0.721149879004906,-0.279438017283465,-0.145948838001532,0.038505064068826,0.598400609804761,0.65805857228507,0.750731559286637,0.899371367923793,1.20625208101427,1.23709255204517,0.767812340813955,0.198408288000617,0.144566956484287,0.12794864377772,-0.0970977007364734,-0.0998353588273724,-0.219504324284061,-0.712823453222688,-0.850265214602092,-0.330812428507412,-0.569124740825028,-1.05212946551703,-0.667328241383282,-0.461786627488144,-0.356129669087208,-0.180119069653478,-0.364300171388614,0.0911056583168113,0.452622878987,0.701245110313146,0.990991971204296,0.814928524984735,0.981304623914765,0.743412998013587,0.686855957566496
gene1,0.614204919014502,0.702897405739808,0.707032204132912,0.730099988712799,0.122620029784959,0.297833515766273,0.0910518170907631,-0.400627781405319,-0.434226651153343,-0.4332574485066,-0.488752456798504,-0.398363917190617,-0.301262727911244,-0.95354599898401,-0.589807928177777,-0.300084390404828,-0.369413495729278,0.159890899194086,0.238183178116933,0.249136341420627,0.0574514706352299,0.0844173775122458,0.897663051727445,0.516968123789175,0.3225869055951,0.64931101629536,0.799194664868547,0.279355450607074,0.550854183175522,0.143629240555423,0.201486944475703,-0.221308328276333,-0.162897285304869,-0.432124284937993,-0.651666664671697,-0.740399324337795,-0.472062618773618,-0.682728960950514,-0.794732264089485,-0.58621934343393,-0.277890315917189,-0.0714424852797585,0.115272149101928,0.395172630651001,0.0328507597463073,0.391267192289426,0.994571462605465,0.441677348958936
gene2,-0.511059943245882,-0.653153877020303,-0.514944723154189,-0.421462073697366,-0.399502765401557,-0.501021898995177,-0.244106142592142,-0.209947042649247,-0.103686433521334,-0.13832344683919,0.211337251298385,0.448796431508505,0.53986506402808,0.531120835523807,0.478733631902417,0.326497851774979,0.376528120660106,0.210355619873071,0.257509816451182,0.426893265379425,0.394212753760844,-0.209468145742829,-0.07995066388146,-0.472281622481638,-0.618084631418511,-0.321212256890805,-0.721640577710186,-0.424263946861398,-0.417457922019744,-0.287197233401925,-0.414446872252738,-0.285723113794051,-0.159485765070675,0.057033110801212,-0.0150832048069941,0.250437284996432,0.243702609380362,0.436889850504754,0.500083885225752,0.419797588732227,0.91870708545964,0.26914116344455,0.160634883132555,0.336770572123605,0.222701644181288,0.164618565223286,0.12390994197474,-0.270528600022116
gene3,0.725225806237956,0.681263046909637,0.295605059034564,0.668515831931158,0.749097808214449,0.687862676903922,0.708780074979062,0.329674538251888,0.632641964736275,0.731950251157821,0.429755796653133,0.141176173370461,0.266913147357287,-0.195294237529923,-0.41352732245438,-0.553346090994977,-1.14696440223458,-1.15832568704491,-0.713466055555402,-0.7374703264659,-1.13008994104215,-0.341666692759519,-0.671985914080737,-0.487415864298957,0.509107248182429,0.272728352946328,0.809924564479383,0.50400211756172,0.999227300892726,0.97587003562643,0.834683037658549,0.926288960395005,0.927516035275831,0.238515172420889,0.744574605950066,-0.0365018116340161,-0.0647869031116959,-0.386599402532034,-0.116902833491505,-0.678317699819991,-0.552642608495071,-0.779247942883575,-0.745317838473811,-0.873922071400438,-0.505865453970391,-0.841530523541572,-0.526640103968056,-0.259122191432748
gene4,-0.623737261776132,-0.814908208837823,-1.25457129828145,-0.973453580102017,-0.585769898388131,-0.666899314570559,-0.937205337629887,-0.680153013526822,-0.403329232719336,-0.0895080673822835,0.0621655318362542,0.155929900765823,0.337993687344632,0.589605005761213,0.424244220454023,0.796231154149165,0.968515505616895,0.448434403901903,0.554123839443578,0.608671668183565,0.562053846334103,0.249517101708133,0.0756614685012645,-0.130698504473361,-0.670531385384239,-1.02288379893927,-0.370404390824551,-0.786245380246244,-0.537749128129771,-1.11635041751541,-1.01016167324679,-0.365279370157021,-0.562093301693294,0.467823684844685,-0.252345884011706,0.369917250905618,0.751918947794426,0.8806078395662,0.522084676164823,0.604691681044345,0.751581110663143,0.471437504773364,0.473031362068977,-0.149899976434604,0.31191494286097,-0.0267655307809217,-0.0393352563417309,-0.163541669766013
gene5,-0.123880602940551,0.353830091365709,0.281887501578083,0.347604385858049,0.67920539502955,0.779270478323937,0.689656972446769,1.00845999068173,0.974616165253491,0.842164028994611,0.737067769893445,0.93008664898788,0.232274444259845,-0.0744980397667734,0.117503137910642,-0.0971682603805764,-0.445419584598851,-0.628591375619514,-0.66354610386996,-0.929191881554836,-0.919408150152109,-0.86329397373851,-0.388131768204691,-0.747417956951124,0.0497751588393124,0.0246851409548266,0.168257020850417,0.376577646951751,0.400994487856501,0.583229730493156,0.972497533366314,0.669716003747241,0.504266458229764,0.55355588850178,1.01042322058547,0.598923420287454,0.314910813218062,0.0323324519347157,0.261905382178111,-0.23751522277751,-0.461404989186632,-0.569816948169908,-0.497419528305924,-0.609411588091995,-0.997847233279444,-0.834578455040341,-0.90937918009956,-0.849770998892332
gene6,0.776603806011584,0.778388428476076,0.681281065338673,0.751287008695545,0.837826178042468,0.714519298889578,0.830152274110132,0.803525267281342,0.856259755857898,0.0486651455579961,0.132465849077842,0.172315583721943,0.218704943166924,-0.59529377795889,-0.601938417701051,-0.437372514709216,-0.782286809790621,-1.12783085574884,-0.676446047729199,-0.448619978963028,-0.610339355501195,-0.438350664797121,-0.480753207645032,-0.0125875289003685,0.314274729748605,0.982748391159889,0.714143047624371,0.845439490466938,0.685991474106587,0.931024238115616,0.824726645703177,0.586082760306,0.594070626231984,0.0567605374891142,0.316001260261455,-0.0977888104863117,0.137597876466471,-0.290743599489249,-0.313211733202378,-0.466787235168479,-0.944863416224323,-0.685550768195974,-0.784632277689277,-0.88539791682275,-0.344866482127061,-0.258955050477577,-0.289416161753709,-0.136725174721222
gene7,-0.0928437356934573,-0.255980373045903,-0.464033104076945,-0.642993026359272,-0.828345452315777,-0.361141571506187,-1.14443123511501,-0.940279080389458,-0.216813803806294,-0.800264806504825,-0.242219023269837,-0.693098585622192,-0.378015152325519,-0.153058598404787,0.195796577378379,0.54914923513768,0.508045224367227,0.846760086166853,1.14031383273693,0.945453935823181,0.628178423720709,0.822116154938485,0.921446403348024,0.815358488453133,-0.509122601778065,-0.0201850362097529,-0.226232899675499,-0.673542017151867,-0.764996481893729,-1.18787654804731,-0.82605047457186,-1.22871548824846,-0.849745560774779,-1.13733256775958,-0.495417077051949,-0.14599523124239,-0.286016521326655,-0.148118040054844,0.0624971820253134,0.170371446117908,0.564338761153564,1.54975654879329,1.08720792510762,1.0260773965949,0.737672068346009,0.853136336569961,0.492040526156375,0.732632405754123
gene8,-0.703860048490237,-0.365757360963741,-1.02425595691113,-0.558375174161016,-0.912848454174911,-0.689811405665311,-0.641192248670306,-1.01525380828537,-1.25089727245503,-0.433957552135418,-0.651722719766647,-0.307952427865718,0.0465703338587595,0.303998854912662,0.108199827917458,0.557551665535942,0.933462068967655,0.446315961799177,0.779177412337669,0.446137297511977,0.418248161728647,0.235016985598408,0.285128276999808,0.581748296126982,-0.360327842234107,0.0243920693337673,-0.479783828496227,-0.610020859010226,-0.960225442178842,-1.01972769391678,-0.989898513789632,-0.725452598967214,-0.573925362177448,-0.496138219049502,-0.179759928896779,-0.416759325070684,-0.103818144173441,0.369997099270101,0.255120806596945,0.260611435039613,0.745019968265019,0.822180041172191,0.770058848830999,0.887101258245131,0.832033588017125,0.946107995698536,0.537886695114288,0.174589702853847
gene9,0.187676574981657,0.626551996840738,0.138785997640574,0.043756829987452,-0.251285264617149,-0.136788006058466,-0.803395692994965,-0.6430445231412,-0.664000454783582,-0.995036035398968,-0.877121101017121,-0.945326134875421,-0.804279157344339,-0.814305600637785,-0.4491618979826,0.0350688896114081,-0.204792313431397,0.667337134105842,0.513569482691498,0.498075910307629,0.620716432002755,0.570343829306925,1.08451871638773,0.856487751114648,0.336640036182941,0.483902817017354,0.284587807739006,-0.192598553100049,-0.340984773733629,-0.414261122628444,-0.144076565389269,-0.625725542020653,-0.760896902019721,-0.944341055493789,-0.708201757727792,-0.722361160127705,-0.663077302886404,-0.667615064533916,-0.7642046305157,-0.274443905729167,0.218660146420478,0.298894511015726,0.966439820516839,0.960964371174289,0.810708587385295,1.24911064368514,0.796764302632699,0.646400283284151
