symbol,R1_P2_T24,R1_P1_T20,R2_P1_T20,R2_P2_T24,R3_P2_T40,R2_P2_T44,R2_P2_T36,R2_P2_T28,R3_P2_T36,R1_P1_T00,R1_P1_T08,R3_P2_T28,R3_P2_T32,R2_P1_T16,R2_P1_T08,R3_P1_T04,R3_P1_T08,R3_P2_T44,R1_P2_T32,R2_P1_T12,R3_P1_T00,R2_P1_T04,R3_P2_T24,R1_P2_T36,R2_P2_T32,R1_P2_T44,R1_P1_T12,R2_P2_T40,R3_P1_T12,R1_P1_T04,R1_P1_T16,R1_P2_T40,R1_P2_T28,R3_P1_T20,R3_P1_T16,R2_P1_T00
gene0,0.549017778955618,-0.530832959333197,-0.278211709605477,0.0821699330658142,-1.3770832739058,-0.559086716580983,-0.694770872240372,1.03951760993865,-0.495074613928573,0.982889028301159,0.0782480998811624,0.978505845685482,0.0579480960008,-1.18233511588076,0.512837436240967,1.09181727916419,0.325755130785017,0.0674671914325816,-0.0542316863291338,-0.66212759693381,0.729549865487662,0.592943395547948,0.446234561337756,-0.545754723486179,0.345712333918578,-0.677546624933167,-0.664397980701901,-0.818485524203957,-0.611085668244654,0.908726869368294,-0.845511300227323,-1.35938957781963,1.13369255628448,0.11918880225716,-0.842173033788175,0.578716806964891
gene1,-0.441243938732541,0.192631022699434,0.154426623832749,-0.506773442625874,0.489981978383198,0.0963057842681195,0.553897696046459,-0.762693161042564,0.223480812279522,-0.714627918000809,-0.213446682605158,-0.352997863671715,-0.183975707465174,1.11889951012852,0.0350555066009736,-0.463285340785148,-0.247575797489319,0.266429848880461,0.0097883988882427,0.569603737106347,-0.432381922219867,-0.638840589735089,-0.686033093515385,0.671201850993721,-0.152591411210238,-0.0567211235698044,0.456804392113213,1.16304284441799,0.374083291002502,-0.681437559042551,0.400484165858877,0.952208885426521,-0.630119668833349,0.357504341269187,0.613018359863003,-0.576650337961413
gene2,0.717211068821339,0.318874096927418,0.30163605505176,0.752339741732893,-0.621815111280553,0.260676566871224,-0.701913078505494,0.274688822453617,-0.842369400475196,0.987020454069261,-0.353336633874164,0.516591855067942,-0.0977560708174036,-0.588141641575423,-0.336526644889624,0.36558287966482,-0.163167418114145,0.100625167357654,-0.0632499372735798,-0.638886288826482,0.804339549335251,0.517054254768839,0.592598612951858,-0.688547105377159,-0.337143754556076,0.196523255927893,-1.16823710144946,-0.557720869590031,-0.832440352467446,0.47144454335756,-0.799494067965558,-0.586967927609983,0.507383254583768,0.259700730092967,-0.352109870110889,0.700010154663046
gene3,0.839850512936187,-0.554555798928982,-0.487726301150741,0.450225570866853,-0.831697276439242,-0.401449525421448,-0.456722821343394,1.34130704948748,-0.247105589690131,0.363398395789973,0.4305588166329,0.856985103273062,1.07913453111137,-0.834974076309857,1.43590880379163,0.615148340721242,0.576604695149929,-0.689795764866516,0.739631504610375,-0.424423716024287,0.63455827243319,1.00244462878904,0.715105216100689,-0.723427624205093,0.39023810884063,-0.295960652803863,-0.185203026108547,-0.680012716986705,-0.895033855117057,0.529184306371524,-1.18079395826555,-1.06617441238722,1.22101556078361,-0.385416705991039,-0.491694308846276,0.319759486189072
gene4,0.357301322599077,0.540028398520921,1.28526125590597,-0.0396671036954904,0.0374601617579831,0.679679762261374,-0.347693454190315,-0.121151133460167,-0.290173464955121,0.67579289285659,-0.567480590840469,-0.33541760691614,-0.747737224516695,0.154189748226446,-0.563023465084531,0.320457686332248,-0.436385462360624,0.282922946667961,-0.304057084689103,-0.90513075520247,0.481416611176885,0.388147482836667,0.506482935560083,-0.260975404956912,0.050539552880967,1.05650130089686,-0.367736491164188,0.0799650149646249,-0.441116306930102,-0.0871624793722399,-0.17420686972212,-0.289258158598874,-0.261510031885301,0.0549125134524864,-0.0438248840636307,0.464983404913206
gene5,0.872809631063579,0.794016734706883,0.805925444171089,0.278325172411943,-0.915735473545716,0.342830384887472,-0.757522713368679,0.125217488922686,-0.742390282855881,0.612938044346899,-0.438801890606267,0.0747049228096634,-0.585509435527186,-0.222896635507898,-0.774591954033896,-0.027418961307202,-0.672617712322694,0.543988153505262,-1.03332618968293,-0.898253925642427,0.517085872161791,0.412908031371704,0.725389000346831,-1.20865503436643,-1.22003695951422,0.145393941967824,-0.798014809118427,-0.0340032398628006,-0.749678562293876,-0.0019633367401201,-0.0613993701564417,-0.448114856115152,0.0525979780420266,1.13740531477847,0.0371583312663873,0.670297899564063
gene6,0.326668893711569,-0.734247291993113,-0.598032771099684,0.337407954485223,-0.764110305232286,-0.76668504188454,-0.0682789488693459,0.744960375847438,-0.44165306500133,0.253858817916307,0.228622967016581,0.681655631293847,0.278096524677917,-0.986225963023111,0.671160648010766,0.868115246508802,0.656997717973264,-0.424331704201495,0.133420082175303,-0.311675754989117,-0.164066610933025,1.00412396126072,0.352988588810053,-0.29142293080955,0.497036854895206,-0.614775961390505,-0.0119129728541693,-0.857815220119641,-0.148353294178292,0.948108173625752,-0.9560351543136,-1.04851120692273,0.591890333541177,-0.689293312125356,-0.830279286638517,-0.0297481091166434
gene7,0.558084834873524,-0.836925817754524,-0.651026064046302,0.367589784265639,-1.29924769978547,-0.596305146898139,-0.368670968321269,1.13174577368829,-0.71108976493939,0.0213450211919018,0.890515610225619,0.875835464824109,0.256851401846539,-1.49088046896539,0.701703091741398,0.772067231804539,0.395783269920705,-0.589988989756336,0.554647304316649,-0.397246554188837,0.581189775211308,1.14796031638054,0.432362911210428,-0.721135979848226,0.146722868073582,-0.523282750276754,-0.854227515241017,-0.691186115993022,0.0920821778887868,1.10864459968805,-1.02585352095923,-0.78974543993173,0.803636875448644,-0.585715058997723,-1.12694673435121,0.239349362244738
gene8,0.907583145024215,0.63548994752463,0.20906018317643,0.443799049287096,-1.19338264167882,-0.469213331098241,-1.00581726179131,0.626425266044215,-0.51935876932821,1.14742769742292,-0.148387355077983,0.780657901628104,0.159186695741328,-1.33888039580229,0.0559105105250323,0.909590942608214,-0.0621564175789552,0.383048602534927,-0.356511130861768,-0.783341020970478,0.707593190981556,0.785667290163938,0.543261522718964,-0.758932205843446,-0.104866531108752,-0.104052102668604,-0.921821231673265,-0.968048019241636,-0.462383723800629,0.897962023744362,-0.524542332069521,-0.477174928060965,0.90499288599402,0.0664266426769536,-0.53066700666248,0.929996869406726
gene9,0.474490614819505,-0.471333599059444,-0.59671257612589,-0.214189680517806,-1.02297053017068,-0.394739975467139,-0.268339588049826,1.23354542979062,-0.386103032793467,0.534586446835774,0.320651318426534,0.834154244405671,0.364712207686606,-0.757792239541485,-0.387631984353342,0.689928852954098,0.600469030151455,-0.43164701476397,0.277726989822508,-0.248671365525658,-0.443214665924232,0.393439713299689,0.217191464191292,-0.282355836349936,0.534995663756728,-0.755255527641032,-0.390320746141228,-0.748218422882307,-0.121124817373233,0.903872292456553,-0.552374218269472,-0.622782636102097,0.858221401754941,0.0236993886639205,-1.00824536239395,0.276045911457271
