symbol,R1_P1_T0,R1_P1_T2,R1_P1_T4,R1_P1_T6,R1_P1_T8,R1_P1_T10,R1_P1_T12,R1_P1_T14,R1_P1_T16,R1_P1_T18,R1_P1_T20,R1_P1_T22,R1_P2_T24,R1_P2_T26,R1_P2_T28,R1_P2_T30,R1_P2_T32,R1_P2_T34,R1_P2_T36,R1_P2_T38,R1_P2_T40,R1_P2_T42,R1_P2_T44,R1_P2_T46,R2_P1_T0,R2_P1_T2,R2_P1_T4,R2_P1_T6,R2_P1_T8,R2_P1_T10,R2_P1_T12,R2_P1_T14,R2_P1_T16,R2_P1_T18,R2_P1_T20,R2_P1_T22,R2_P2_T24,R2_P2_T26,R2_P2_T28,R2_P2_T30,R2_P2_T32,R2_P2_T34,R2_P2_T36,R2_P2_T38,R2_P2_T40,R2_P2_T42,R2_P2_T44,R2_P2_T46
gene0,-0.55228759164128,-0.183225250361444,0.420802480532025,0.226478773986161,0.474555325842344,0.124245287885632,0.371883302937843,1.44247200367068,0.596952157943374,-0.949670632528339,-0.328342160979866,-1.48214773686824,-0.735874819503534,-0.2378139029555,0.826043513592908,0.649927917364073,0.912172690468054,0.487590542874839,1.08990244650979,0.805944060440382,-0.447572244272883,-0.646235764565063,-1.36361414724599,-0.940651640400498,-0.655493340159837,-0.480314143800012,-0.295848599492903,0.726219753223586,0.664296712712601,1.15300949011945,1.23959742832417,0.319787944683038,0.484449858394153,-0.86911095007494,-0.798581373915179,-1.26055727662155,-0.311563172847071,-0.766003378439917,-0.329175694134563,0.305696283379632,0.850433293397694,1.11965290480401,1.13117597716209,-0.458865836374909,-0.403816599131911,-0.40382823471847,-1.42623050922451,-0.982160349504968
gene1,0.919506144279801,0.584997250663039,0.0049806511918477,0.0966632467094593,-0.635809887056179,-0.627000680040544,-0.948833055219302,-0.34762670676726,-0.214518930998558,0.174426496866529,0.991669407620182,0.954645185699349,0.484600292995096,0.598356839576832,0.266247946428301,-0.180887057364555,-0.581513769917122,-0.644445441830789,-0.448034116031545,-0.474672796613163,0.285410817874363,0.28386221234879,0.827588840935633,0.76017434608996,0.491529822587571,0.37965120283616,0.16529279178189,-0.431987087364234,-0.71216832304158,-0.575535716786351,-0.505916465024637,-0.159020220867796,0.0685866077638658,0.507217793401594,0.47554633841364,1.05917281140377,0.773831797230737,0.337049480089939,-0.0493238391156711,-0.603344379357152,-0.41674419395647,-1.03611752499618,-0.33833058525797,-0.452466394156293,0.0349912655214971,0.106287803261052,0.762282822282921,1.00780957944621
gene2,0.913427785259707,0.234872392788487,0.37007857233237,-0.520476101883504,-0.241394198816896,-0.882652671697175,-0.698669988812145,-0.338300286853956,-0.339865365531148,0.278109205522245,0.388622158251326,0.726429706867594,1.00219458375891,0.712773826288196,0.292255084027337,-0.344823955962521,-0.0913396560316906,-0.0666253753104544,-0.503456781667226,-0.360189849755301,-0.601639782864801,0.0488421786753089,0.454048032893533,0.911179602785273,0.714686579269081,0.439860458887919,0.352751190905109,0.911862615775234,-0.533664257425273,-0.39080520013509,-1.37075497413766,0.271964304166679,-0.879950523999929,0.0583550991357452,0.434256261352506,0.655460379672123,0.278713919657776,0.378414255643507,0.762851119692031,0.0400461644245918,-0.43516096865327,-0.610392569200567,-0.76038570584985,-0.64790785150551,-0.142044742413071,0.214727085514313,0.847158214294041,0.687484597288361
gene3,-1.07764802263384,-0.677419942442511,-0.705908321444253,0.0442179866488397,0.201385076708761,0.355480689639839,0.593548912544834,0.977665752894647,0.496427384723293,0.261382560032144,-0.469497984161295,-0.856877447205301,-0.571509688182525,-0.989325611214517,-0.458542375368569,-0.823264709874213,0.511917680665754,0.487736146444335,0.857385811229239,0.798801493830647,1.09709017454331,0.0007608836447725,-0.358664148041039,-0.658867835258952,-0.957030258729881,-0.904540159142185,-0.628751970867695,-0.301918513305318,0.140127349781959,0.550415435419525,0.575225118754981,1.05697076359047,0.907977392532297,-0.104078713805539,-0.0398220874023578,-0.0858553431054533,-0.813463617585355,-0.475193402598732,-0.659498765141027,-0.462381432913071,0.136592209115178,0.702904922542281,0.944150761934103,1.16047369737157,0.803106733574429,0.135085888835337,-0.121035710750777,-0.456920590082095
gene4,0.22105196048354,0.688135267926978,0.664515474917442,0.156332735682502,0.754839004609477,-0.289593253025804,-0.475340158462014,-0.484722794767335,-1.07647902373395,0.0038040638032065,0.06293352760057,0.166423433600706,0.791201633360564,0.667121061533678,0.549397368682064,0.0599487601951431,0.389113920056221,-0.196398493688864,-0.362203201871846,-0.107576038177875,-0.390367256314886,-0.298854228327558,-0.286140949727095,0.169046386716771,0.285810938164768,0.389321637868765,0.431450029229758,0.476992523698221,0.334310059514371,-0.194288717616174,-0.483711225443971,-0.359815900439756,-0.65500530338166,-0.663635970510735,0.046964691093107,0.17710991700017,-0.0748639802808597,0.0686367921395871,0.5456900892709,0.53359457640079,0.188864956390585,-0.264052708254002,-0.0882114170509148,-0.718653473703073,-0.569205135726399,-0.4824168185509,0.0171705419722346,-0.152572919738006
gene5,-0.743524353280286,-0.386999113963924,-0.258594697328797,0.402171058014815,1.02414779830591,0.949981572861886,0.605121166788982,0.459827413776888,-0.0055524932224134,-0.294756759804437,-0.496521134336516,-0.827537126443401,-0.828189211625908,-0.412173885099541,0.14038278841361,0.907020966163068,0.891531282853524,0.999244561502895,0.863616640431039,0.74737269845251,0.150722989623471,-0.580369231603717,-0.740722062551815,-0.953853004892005,-0.829461817667534,-0.648629686348879,-0.191412758443008,0.494272422362926,0.434183498932641,1.02332783815209,0.91617169584106,0.430625206560741,-0.0485682518959471,-0.390405098388319,-0.753164131464112,-1.0271467709486,-1.05762336749259,-0.505634285076435,-0.242725277379816,0.837280724367111,0.711010512831435,0.665223631385417,0.744654934951115,0.542216856360134,-0.0273171267202579,-0.445743697849385,-0.930775855494306,-0.885545306302463
gene6,-0.91049796483721,-0.727650958044158,-0.301099149078342,-1.23731009851551,0.294429806241442,0.975116026536497,0.864231970628702,0.706978056164687,1.19160244223887,0.949826500831108,0.192440443696385,-0.0892546684497713,-1.01780977722168,-0.0999769887142967,-1.58614795194716,-0.677304197176743,-0.227661756764145,-0.0584403605281673,0.954701616678348,0.551912093313427,1.01769721350052,0.582295051530389,0.0174950775988158,-0.747151402531153,-0.755126181566033,-0.869599812344925,-0.804393944757041,-0.484494236658402,0.0025321849881993,0.42534578075624,0.258454692016988,0.212731789917218,1.24336451962465,0.241530740503087,-0.0461216280643898,-0.55774270106502,-0.108908332690614,-0.392039101558082,-0.986352895315732,-0.680410962268086,-0.614698045757582,0.79749174496855,-0.212671598078471,0.829792060097912,0.953463961227246,0.159280862219052,0.577951245987621,-0.357911584071468
gene7,-0.397610036273325,-0.678588437293371,-0.689845576551622,-0.57648173775976,-0.345511049611008,0.121113463091961,0.458905816714948,1.03251467621611,0.746854260830118,0.60620846537309,0.345539344371762,-0.284590820848552,-0.406466021710647,-0.720044655506424,-0.846088112008841,-0.80926620694172,-0.134111484652493,0.155732033179093,0.37602793427127,0.288943302533064,0.59185101975047,0.607245631491929,0.312404911426065,-0.234063406094017,-0.184492603998778,-0.898291540736715,-0.636739346828445,-0.604576055732895,-0.420976923196895,-0.21230681983671,0.501784139882008,0.507907684172009,0.514899809621234,0.286244903687786,0.517237597598804,0.0380668164965986,-0.326320952167315,-0.576142381331862,-0.714242235162261,-0.585246011933076,-0.102034014081119,-0.0842376018839054,0.734289042289497,0.453390615748385,0.904085769569965,0.43776093710347,0.366946940973514,-0.240857226450223
gene8,-0.832064193956337,-0.741469351695878,-0.70348093773936,-0.545708393802074,-0.430230991921351,0.830917997344339,0.781614263796632,0.635095373409947,0.712217952514225,0.698033583541267,-0.629747683730108,-0.835344755928139,-1.04660476854073,-0.483284290612347,-0.841750871911317,-0.222003446864146,-0.265126384897995,0.838720123667566,1.12121088720908,0.96099647644645,0.256948815440749,0.398643615890599,-0.457467768923594,-0.967046775064462,-1.00506940921443,-0.48224538257294,-0.305220534572806,-0.395447528340916,0.174539740676262,0.0304989329793138,0.597761193062912,0.326685894663973,0.693124816803189,1.38676766507933,0.207944418721766,-0.282164662733234,-0.0791550394743915,-0.0958097085699021,-0.737882975984882,-0.12277965423971,-0.378644239146201,-0.527455091515892,0.630708475281534,0.60375749945971,1.1952172729707,0.882125356707969,0.293301018594215,-0.121355058440153
gene9,0.462709118317203,0.384973979309621,0.610729972932952,0.249497284538131,0.234275275580657,-0.0912403622789353,-0.261343102469426,-0.550674280200636,-0.948724051511288,-0.365445110936451,0.444314983405323,-0.186031386551656,0.19575482629222,0.474508840799063,0.6840706857152,0.437268212774859,-0.0081681649827108,0.041829153392366,-0.475649076566838,-1.11893736977515,-0.658009287933047,-0.358404586997711,-0.706335892873236,0.15862542828039,0.307516337661593,0.540505572350036,0.82523121939574,0.549786228300392,0.434446734476757,-0.0266138031087427,-0.183562358983504,-0.868482036749307,-0.567575347704818,-1.16094114872254,-0.219510491166142,0.0734652029319779,0.595384082974555,0.265791714229433,0.567281613120727,0.855679453248003,0.536904686307877,0.508402990267441,-0.525325417046036,-0.51216984691975,-0.41326803349705,-0.757101567135687,-0.447409587026447,0.227447195466063
